ano,velocidad_promedio_km/h,tiempo
2002,27.1,22.14022140221402
2003,24.5,24.489795918367346
2004,23.7,25.31645569620253
2005,22.6,26.54867256637168
2006,22.9,26.200873362445417
2007,23.0,26.08695652173913
2008,23.4,25.641025641025642
2009,21.0,28.571428571428573
2010,19.2,31.25
2011,19.3,31.088082901554404
2012,18.5,32.432432432432435
2013,19.6,30.612244897959183
2014,17.6,34.090909090909086
2015,16.4,36.58536585365854
2016,16.7,35.92814371257485
2017,17.2,34.883720930232556
2018,18.0,33.333333333333336
2019,17.4,34.48275862068966
2020,28.0,21.428571428571427
2021,26.6,22.55639097744361
2022,24.7,24.291497975708502
2023,26.8,22.388059701492537
2024,25.4,23.62204724409449
2025,23.7,25.31645569620253
